timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
3217989,29.07,47.32,101424,0.8425091419963787,0.9300161843926161,0.811939405627295,0.7093962909166781,28194,15163,95
3218969,29.07,47.32,101423,0.8459664480702485,0.9300161843926161,0.811939405627295,0.7093962909166781,28180,15156,96
3219970,29.08,47.3,101424,0.8565074277135626,0.9407797176462003,0.8059177512859971,0.6998467254620305,28212,15157,97
3220970,29.08,47.3,101424,0.8444787075592434,0.9356976619937816,0.8010374562642916,0.7048622535369504,28214,15157,98
3221970,29.08,47.31,101425,0.8449689856821883,0.9574853467395354,0.8045796058768198,0.7122852350878319,28213,15157,99
3222970,29.08,47.3,101425,0.8529655909288404,0.9494061813433827,0.8013129567897105,0.7259274714516143,28198,15155,100
3223970,29.09,47.29,101425,0.8519596754696949,0.9449235476397109,0.8127659072035516,0.7227175334836655,28202,15158,101
3224970,29.09,47.28,101425,0.8444787075592434,0.9539148768709131,0.8218967817602909,0.7212730613980886,28185,15147,102
3225970,29.09,47.27,101424,0.852458406663725,0.94909343945708,0.8155209124577402,0.7345541797404765,28197,15154,103
3226970,29.09,47.28,101424,0.852458406663725,0.9539148768709131,0.8174887733535892,0.7062666013979281,28205,15152,104
3227970,29.1,47.28,101424,0.865763540551918,0.9487806975707773,0.8255176458086531,0.7110815083498512,28218,15153,105
3228970,29.1,47.26,101424,0.855493059183332,0.9516735600190772,0.8218967817602909,0.7308226268527361,28252,15148,106
3229970,29.11,47.28,101423,0.8662791778881186,0.9519863019053799,0.827761007229921,0.7435821302753325,28208,15153,107
3230970,29.12,47.27,101423,0.8647238128084315,0.9549052261775383,0.841339247411279,0.7440636209705248,28213,15150,108
3231970,29.12,47.28,101424,0.8688911768534626,0.9574853467395354,0.8553897742076408,0.7639652363718071,28165,15149,109
3232970,29.12,47.3,101423,0.8752140740252341,0.9666069850900305,0.8614901429847727,0.7665733109707655,28191,15146,110
3233970,29.12,47.3,101423,0.873624896661206,0.9558695136603049,0.8580267078080784,0.7542150497941628,28198,15143,111
3234970,29.13,47.3,101423,0.8715200819609773,0.9689004255895836,0.8522018395563654,0.7425389004357491,28183,15144,112
3235970,29.13,47.31,101423,0.8642081754722308,0.9702035167825114,0.8479119028034147,0.7485976583502524,28183,15141,113
3236989,29.13,47.31,101423,0.8636925381360302,0.9787778568319767,0.8499191209171806,0.754455795141759,28191,15145,114
3237969,29.14,47.33,101424,0.8668032682954044,0.9787778568319767,0.8499191209171806,0.754455795141759,28211,15144,115
3238970,29.14,47.31,101423,0.8662791778881186,0.9695519711860475,0.8438974665758827,0.7453475961577043,28231,15137,116
3239970,29.14,47.31,101423,0.855493059183332,0.9666069850900305,0.8387810282466753,0.7440636209705248,28168,15140,117
3240970,29.14,47.31,101422,0.8590602551813099,0.9695519711860475,0.8418902484621167,0.738285732628217,28228,15142,118
3241970,29.15,47.33,101422,0.8621456261274284,0.9820877084620135,0.8438974665758827,0.7526903292593871,28179,15133,119
