timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1481401,29.21,42.89,101647,0.868725299719255,0.9301969328181647,0.8407546600906712,0.7049385666372753,28993,14637,95
1482401,29.21,42.87,101646,0.8737973772569517,0.9396861330019914,0.853353865371569,0.702548804707007,29017,14635,96
1483401,29.22,42.85,101646,0.8752588233271356,0.9301969328181647,0.8458966434424906,0.6983049171411855,28998,14639,97
1484401,29.22,42.84,101645,0.8818905954103226,0.9327075283824956,0.8384663428922177,0.6990053646035055,28943,14632,98
1485401,29.22,42.84,101645,0.8745342408217502,0.9479838641044407,0.8470273413523147,0.6935665960725499,28991,14632,99
1486401,29.23,42.82,101645,0.8737973772569517,0.934920256676482,0.8427468421222662,0.703496468920734,28966,14628,100
1487401,29.23,42.81,101646,0.8818905954103226,0.948303007608381,0.8487503095958563,0.6983049171411855,28985,14624,101
1488401,29.23,42.8,101645,0.8759956868919341,0.9355585436843628,0.8507694130062566,0.7004062595281456,29013,14629,102
1489401,29.24,42.81,101644,0.8745342408217502,0.9311330870963898,0.8418853580004955,0.6919184843965027,28998,14631,103
1490401,29.25,42.8,101644,0.8781939965269164,0.9279842045241783,0.8464619923974027,0.7106657547115393,29037,14620,104
1491401,29.25,42.8,101644,0.8694498822246403,0.9412818505216932,0.8629378762262688,0.7106657547115393,29005,14627,105
1492401,29.26,42.77,101643,0.8759956868919341,0.917069496689418,0.848481095807803,0.7073283285675437,28965,14625,106
1493401,29.26,42.77,101642,0.8658515318165406,0.933984102398257,0.8424507069554075,0.7018483572446869,29048,14625,107
1494442,29.26,42.77,101642,0.8694498822246403,0.9270480502459532,0.841616144212442,0.7049385666372753,29037,14622,108
1495492,29.26,42.75,101642,0.8672884157678978,0.9124100015318888,0.8481849606409443,0.7085232095326779,29016,14621,109
1496531,29.26,42.75,101643,0.8651392303705687,0.9279842045241783,0.8510655481731153,0.7097180904978121,29007,14620,110
1497400,29.27,42.75,101642,0.871623629740796,0.9279842045241783,0.8510655481731153,0.7097180904978121,29030,14626,111
1498401,29.28,42.74,101641,0.8767202693973193,0.9236013004033974,0.8542422708721451,0.708770426284085,29009,14618,112
1499401,29.28,42.71,101640,0.8672884157678978,0.9425584245374546,0.8487503095958563,0.7061334476024095,28996,14618,113
1500401,29.29,42.71,101640,0.8767202693973193,0.9314522306003301,0.8470273413523147,0.7049385666372753,29029,14623,114
1501401,29.29,42.7,101640,0.8745342408217502,0.9396861330019914,0.8582804776929456,0.709470873746405,29008,14614,115
1502401,29.29,42.69,101640,0.8737973772569517,0.9371542612040645,0.8510655481731153,0.709470873746405,29008,14618,116
1503401,29.3,42.69,101640,0.878930860091715,0.9343032459021974,0.873814113263625,0.7037436856721411,29005,14616,117
1504401,29.3,42.66,101640,0.8818905954103226,0.9431967115453354,0.8632340113931276,0.7116546217171675,29017,14615,118
1505401,29.31,42.66,101641,0.8833766035993329,0.9451115725689775,0.863826281726845,0.7020955739960939,29007,14613,119
