timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
1484637,28.87,42.79,101801,0.8590602551813099,1.0221186699087574,0.9797585828252973,0.7559805156765346,28709,15062,95
1485687,28.87,42.78,101800,0.8560002434484473,1.0152122865862399,0.952916960205917,0.7762031248746118,28743,15065,96
1486747,28.87,42.77,101800,0.8662791778881186,1.0162547595405822,0.9800734405686331,0.7650084662113905,28703,15063,97
1487796,28.87,42.76,101799,0.8611143514550271,1.037807887871609,0.9803882983119689,0.7767648640190029,28734,15061,98
1488585,28.89,42.75,101799,0.8914439705089257,1.037807887871609,0.9803882983119689,0.7767648640190029,28731,15056,99
1489586,28.89,42.74,101799,0.8800238714727447,1.0207373932442538,1.0083319230330248,0.7743975347676406,28731,15055,100
1490587,28.9,42.73,101799,0.8827119480778561,1.039215226359971,1.0124250736963907,0.7670949258905572,28732,15059,101
1491586,28.9,42.71,101799,0.8843349377262253,1.0242036158174421,0.9944388251083308,0.7707061061044995,28711,15054,102
1492587,28.9,42.72,101799,0.8816384080500287,1.0294159805891536,1.0165575815776735,0.7764839944468074,28707,15054,103
1493586,28.9,42.7,101798,0.8865158300662214,1.037104218627428,1.0083319230330248,0.772311075088474,28733,15054,104
1494587,28.91,42.66,101797,0.8876062762362193,1.0322045957420192,1.005616274996753,0.7767648640190029,28779,15055,105
1495586,28.91,42.65,101796,0.872568262775549,1.0626708678326726,1.021398519381462,0.770986975676695,28733,15058,106
1496587,28.91,42.64,101795,0.8773442479387187,1.0466167843358014,1.0079777080717718,0.7746382801152368,28756,15055,107
1497586,28.91,42.63,101794,0.889246172026759,1.0530019311811478,1.0189583718706092,0.7783297087783779,28738,15051,108
1498587,28.92,42.63,101794,0.889246172026759,1.0466167843358014,1.0245077395969033,0.772311075088474,28745,15051,109
1499586,28.92,42.62,101794,0.8859663804456798,1.07789097296607,1.031473967168209,0.7932157961047404,28755,15048,110
1500587,28.93,42.61,101793,0.8821794045994851,1.051933396402947,1.054419225213808,0.7921324420405577,28721,15051,111
1501586,28.93,42.59,101793,0.8832529446273125,1.0822954211981661,1.0519003632671213,0.8051326908107501,28733,15044,112
1502587,28.94,42.57,101792,0.8886967224062174,1.0789855695681294,1.0590633769280118,0.8034875976021764,28719,15046,113
1503637,28.93,42.57,101793,0.8832529446273125,1.064130329968752,1.0437534191583067,0.7953825042331057,28702,15048,114
1504697,28.93,42.57,101794,0.8832529446273125,1.07789097296607,1.054773440175061,0.7916108271207659,28775,15041,115
1505747,28.93,42.57,101793,0.8768117044603475,1.037807887871609,1.0395421968411898,0.7764839944468074,28748,15052,116
1506807,28.93,42.59,101793,0.8741574401395771,1.0548001970273884,1.03497675956282,0.7728326900082656,28711,15049,117
1507856,28.93,42.59,101793,0.8709875384826061,1.0409613685584944,1.0269478871077562,0.7624405158370315,28746,15041,118
1508585,28.96,42.6,101794,0.907141323514246,1.0409613685584944,1.0269478871077562,0.7624405158370315,28692,15044,119
