timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
584666,28.77,51.32,101245,1.0044555683551486,1.0517906078194412,0.9750923403293024,0.8849535644535274,29604,15493,94
585666,28.77,51.32,101245,0.9996659551839581,1.0317058433047948,0.9887145580048029,0.8834702639450849,29582,15487,95
586666,28.77,51.32,101245,1.0044555683551486,1.0341526101683376,0.9790767043924923,0.8828522220665672,29622,15481,96
587666,28.77,51.31,101245,1.0044555683551486,1.0317058433047948,0.9678774108094721,0.8739524190159125,29615,15478,97
588666,28.77,51.3,101246,1.0044555683551486,1.0282165409950468,0.9764114878907639,0.8927820949147514,29628,15477,98
589666,28.77,51.28,101245,1.0044555683551486,1.0668541812054262,0.9991600529812735,0.9120237987326021,29602,15477,99
590666,28.77,51.29,101246,1.0073416173172762,1.069386053003353,1.0213701904956765,0.9536798213446943,29600,15477,100
591666,28.77,51.29,101246,1.010264509457644,1.0861517250770198,1.0363653984902492,0.9745696368385921,29572,15478,101
592666,28.77,51.29,101246,1.0054134909893868,1.0799390648669809,1.0658712296608983,0.9922044317722969,29589,15477,102
593666,28.77,51.28,101246,1.0112347131512953,1.0839602730166293,1.063367541432002,0.9821921533403103,29640,15471,103
594666,28.78,51.28,101247,1.0112347131512953,1.0887261493421387,1.0694786944208134,0.9772066155202677,29552,15466,104
595666,28.78,51.27,101246,1.0131874015980116,1.0701094449456179,1.071659326104046,0.9719326581569167,29609,15466,105
596666,28.78,51.26,101246,1.0083118210109276,1.0777476128065904,1.0658712296608983,0.968348015261514,29587,15462,106
597666,28.78,51.26,101246,1.0131874015980116,1.083598577045497,1.0629906421287274,0.9617967713492266,29570,15460,107
598666,28.78,51.26,101245,1.0112347131512953,1.1091938860615138,1.0694786944208134,0.9585417507890335,29579,15457,108
599717,28.78,51.26,101245,1.009282024704579,1.0972366427805484,1.083343204505562,0.9729215251625449,29557,15458,109
600767,28.78,51.27,101245,1.0044555683551486,1.0883644533710064,1.0702055716485577,0.9722622804921262,29554,15456,110
601817,28.77,51.28,101245,1.0034853646614972,1.0902154856938604,1.076397488773785,0.9735807698329638,29614,15454,111
602867,28.77,51.3,101244,0.997762390974895,1.07191792480128,1.063367541432002,0.9418134172771546,29557,15452,112
603906,28.77,51.28,101244,1.0006115967587828,1.0610883219009037,1.039865177734943,0.9191518817315061,29568,15451,113
604665,28.8,51.29,101245,1.0210841228007692,1.0610883219009037,1.039865177734943,0.9191518817315061,29578,15459,114
605666,28.8,51.25,101245,1.0181121064227485,1.0550033190924408,1.0179242540085933,0.8879613682623134,29559,15450,115
606666,28.8,51.25,101246,1.015152371104141,1.0254293543939677,0.9961179371762705,0.8523209532677934,29582,15448,116
607666,28.8,51.25,101246,1.0171296216696837,1.0282165409950468,0.9619816288511033,0.8360458504668276,29545,15453,117
608666,28.8,51.23,101247,1.0112347131512953,1.0254293543939677,0.9490593670245416,0.8329556410742391,29589,15450,118
