timestamp,BME688_TEMP,BME688_HUM,BME688_PRES,BME688_R,ENS160_R0,ENS160_R2,ENS160_R3,SGP41_VOC,SGP41_NOX,timestamp_s
925224,29.33,51.26,101521,0.830860810040896,1.1078620704034108,1.0756721228889772,0.8513557975492124,28373,15347,95
926274,29.33,51.24,101520,0.8275218469622199,1.0940753655822342,1.0822447782811129,0.8551274746615523,28365,15348,96
927334,29.33,51.25,101520,0.8279952189429942,1.0951699621842934,1.074215905826049,0.845618033431504,28357,15341,97
928383,29.33,51.23,101520,0.822805033296647,1.1007471924900247,1.0756721228889772,0.8387969152496129,28369,15339,98
929202,29.35,51.22,101519,0.835188782436547,1.1007471924900247,1.0756721228889772,0.8387969152496129,28422,15338,99
930203,29.36,51.21,101519,0.835188782436547,1.07789097296607,1.0713034717001926,0.8297288404901576,28379,15336,100
931203,29.36,51.22,101518,0.8347069573846875,1.0852143454703247,1.0756721228889772,0.8331393995811032,28356,15339,101
932203,29.37,51.22,101517,0.8371245357150706,1.0977761445701493,1.0829925654215355,0.8496304558914399,28377,15333,102
933203,29.38,51.25,101517,0.836642710663211,1.1078620704034108,1.0807885612181847,0.8496304558914399,28346,15337,103
934203,29.38,51.24,101516,0.8429994201193236,1.1063504846196146,1.1055836085058819,0.8920818855175624,28376,15342,104
935203,29.39,51.24,101516,0.8420104108023486,1.1078620704034108,1.1336059476627716,0.8842576617206873,28332,15333,105
936203,29.4,51.23,101515,0.8479529197752835,1.1309528463420926,1.14092639019533,0.9274714516141976,28386,15336,106
937203,29.41,51.18,101514,0.8454677168762184,1.1301970534501944,1.1447833975511938,0.9202892154109122,28357,15333,107
938203,29.42,51.13,101514,0.8429994201193236,1.11727038881635,1.1560789190933671,0.9331289672827073,28334,15331,108
939203,29.42,51.1,101513,0.8415201326794037,1.1187819746001464,1.160408213064235,0.9103785319348704,28356,15332,109
940203,29.43,51.07,101512,0.8444787075592434,1.1153678756746754,1.1417135345536695,0.9125452400632358,28412,15328,110
941203,29.43,51.02,101512,0.835188782436547,1.1168794614584716,1.1560789190933671,0.9027148050363927,28348,15328,111
942203,29.43,50.99,101512,0.8376148138380155,1.126392027166845,1.1494669064833145,0.8917608917207676,28382,15326,112
943203,29.44,50.98,101512,0.8342251323328279,1.1271478200587433,1.136675810660296,0.8929646184587483,28349,15329,113
944213,29.44,50.96,101512,0.830860810040896,1.1279036129506415,1.1459641140887034,0.8732636241804628,28387,15333,114
945202,29.45,50.93,101511,0.83858691701282,1.1279036129506415,1.1459641140887034,0.8732636241804628,28377,15329,115
946203,29.45,50.91,101511,0.841029854556459,1.11727038881635,1.1339995198419415,0.8676462327365524,28380,15323,116
947203,29.46,50.91,101512,0.8376148138380155,1.1240985866672921,1.1382107421590584,0.8881497115068252,28391,15328,117
948203,29.46,50.91,101511,0.8449689856821883,1.1210493532758408,1.1374629550186357,0.8966159228972901,28377,15325,118
949203,29.47,50.92,101511,0.8390771951357648,1.1580832049788508,1.152182554519586,0.8966159228972901,28388,15324,119
